x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
971,1023,tap,2025-11-11T16:18:48.815780,1920,1080,0.5057291666666667,0.9472222222222222
1069,1013,tap,2025-11-11T16:18:51.280490,1920,1080,0.5567708333333333,0.937962962962963
1085,392,tap,2025-11-11T16:19:02.139477,1920,1080,0.5651041666666666,0.362962962962963
284,410,tap,2025-11-11T16:19:18.106613,1920,1080,0.14791666666666667,0.37962962962962965
1423,561,swipe_inicio,2025-11-11T16:19:22.565979,1920,1080,0.7411458333333333,0.5194444444444445
1631,296,swipe_fim,2025-11-11T16:19:22.565979,1920,1080,0.8494791666666667,0.2740740740740741
1523,462,swipe_inicio,2025-11-11T16:19:28.995018,1920,1080,0.7932291666666667,0.42777777777777776
1239,871,swipe_fim,2025-11-11T16:19:28.995018,1920,1080,0.6453125,0.8064814814814815
836,524,tap,2025-11-11T16:19:33.621348,1920,1080,0.4354166666666667,0.48518518518518516
242,482,tap,2025-11-11T16:19:37.895345,1920,1080,0.12604166666666666,0.4462962962962963
1311,444,tap,2025-11-11T16:19:41.406719,1920,1080,0.6828125,0.4111111111111111
1499,426,tap,2025-11-11T16:19:45.206101,1920,1080,0.7807291666666667,0.39444444444444443
1425,667,tap,2025-11-11T16:19:49.704985,1920,1080,0.7421875,0.6175925925925926
826,536,tap,2025-11-11T16:19:54.072134,1920,1080,0.43020833333333336,0.4962962962962963
246,595,tap,2025-11-11T16:19:57.877061,1920,1080,0.128125,0.5509259259259259
834,591,tap,2025-11-11T16:20:01.653472,1920,1080,0.434375,0.5472222222222223
860,472,tap,2025-11-11T16:20:05.471417,1920,1080,0.4479166666666667,0.43703703703703706
864,384,tap,2025-11-11T16:20:09.404850,1920,1080,0.45,0.35555555555555557
228,727,tap,2025-11-11T16:20:13.528871,1920,1080,0.11875,0.6731481481481482
832,168,tap,2025-11-11T16:20:17.156425,1920,1080,0.43333333333333335,0.15555555555555556
692,402,swipe_inicio,2025-11-11T16:20:21.185262,1920,1080,0.36041666666666666,0.37222222222222223
1369,426,swipe_fim,2025-11-11T16:20:21.185262,1920,1080,0.7130208333333333,0.39444444444444443
674,645,swipe_inicio,2025-11-11T16:20:25.459323,1920,1080,0.35104166666666664,0.5972222222222222
1355,709,swipe_fim,2025-11-11T16:20:25.459323,1920,1080,0.7057291666666666,0.6564814814814814
