x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
700,997,tap,2026-03-10T10:10:51.697919,1920,1080,0.3645833333333333,0.9231481481481482
1619,693,tap,2026-03-10T10:10:55.399169,1920,1080,0.8432291666666667,0.6416666666666667
788,681,tap,2026-03-10T10:11:01.619912,1920,1080,0.41041666666666665,0.6305555555555555
74,122,tap,2026-03-10T10:11:04.401511,1920,1080,0.03854166666666667,0.11296296296296296
82,186,tap,2026-03-10T10:11:05.873422,1920,1080,0.042708333333333334,0.17222222222222222
680,985,tap,2026-03-10T10:11:07.908060,1920,1080,0.3541666666666667,0.9120370370370371
1633,689,tap,2026-03-10T10:11:10.339202,1920,1080,0.8505208333333333,0.637962962962963
292,709,tap,2026-03-10T10:11:13.741163,1920,1080,0.15208333333333332,0.6564814814814814
88,186,tap,2026-03-10T10:11:17.253887,1920,1080,0.04583333333333333,0.17222222222222222
80,184,tap,2026-03-10T10:11:18.745465,1920,1080,0.041666666666666664,0.17037037037037037
672,1019,tap,2026-03-10T10:11:22.256515,1920,1080,0.35,0.9435185185185185
1629,715,tap,2026-03-10T10:11:25.478468,1920,1080,0.8484375,0.6620370370370371
322,464,tap,2026-03-10T10:11:28.584169,1920,1080,0.16770833333333332,0.42962962962962964
78,194,tap,2026-03-10T10:11:32.912176,1920,1080,0.040625,0.17962962962962964
102,158,tap,2026-03-10T10:11:36.444618,1920,1080,0.053125,0.14629629629629629
692,1027,tap,2026-03-10T10:11:40.094851,1920,1080,0.36041666666666666,0.950925925925926
1625,687,tap,2026-03-10T10:11:42.671969,1920,1080,0.8463541666666666,0.6361111111111111
798,470,tap,2026-03-10T10:11:45.368666,1920,1080,0.415625,0.4351851851851852
90,158,tap,2026-03-10T10:11:49.199779,1920,1080,0.046875,0.14629629629629629
88,156,tap,2026-03-10T10:11:51.384386,1920,1080,0.04583333333333333,0.14444444444444443
696,1011,tap,2026-03-10T10:11:54.403046,1920,1080,0.3625,0.9361111111111111
1663,667,tap,2026-03-10T10:11:58.649533,1920,1080,0.8661458333333333,0.6175925925925926
1397,462,tap,2026-03-10T10:12:02.755208,1920,1080,0.7276041666666667,0.42777777777777776
92,178,tap,2026-03-10T10:12:06.501433,1920,1080,0.04791666666666667,0.1648148148148148
90,186,tap,2026-03-10T10:12:09.333945,1920,1080,0.046875,0.17222222222222222
700,1011,tap,2026-03-10T10:12:11.726250,1920,1080,0.3645833333333333,0.9361111111111111
1665,711,tap,2026-03-10T10:12:14.526052,1920,1080,0.8671875,0.6583333333333333
1635,725,tap,2026-03-10T10:12:17.201132,1920,1080,0.8515625,0.6712962962962963
82,182,tap,2026-03-10T10:12:20.905516,1920,1080,0.042708333333333334,0.1685185185185185
